Type,ID,Name,Version List
0,80,Gen. Journal Template,"NAVW110.00,MC0002,OPP10.00"
0,81,Gen. Journal Line,"NAVW110.00.00.17972,NAVDACH10.00.00.17972,MF10.00.02,AL10.00,ESCM1.09.3,OPP10.00.03,CH,INS,MIO,MC0115,MI10.00.01"
0,82,Item Journal Template,NAVW110.00
0,83,Item Journal Line,"NAVW110.00.00.17972,VG10.00.02,MF10.00.02,ESCM2.1,MC0115"
0,84,Acc. Schedule Name,"NAVW110.00,OPP10.00"
0,85,Acc. Schedule Line,"NAVW110.00.00.17972,OPP10.00"
0,86,Exch. Rate Adjmt. Reg.,NAVW19.00
0,87,Date Compr. Register,"NAVW110.00,CO4.00"
0,90,BOM Component,"NAVW17.10,VG10.00.02"
0,91,User Setup,"NAVW110.00,MF10.00.02.1,MC0001,OPP10.00,MC0180"
0,92,Customer Posting Group,"NAVW19.00,MC0002,OPP10.00,INS"
0,93,Vendor Posting Group,"NAVW19.00,MC0002,OPP10.00,INS"
0,94,Inventory Posting Group,NAVW19.00
0,95,G/L Budget Name,NAVW19.00
0,96,G/L Budget Entry,NAVW110.00.00.17972
0,97,Comment Line,"NAVW17.00,MF10.00.02"
0,98,General Ledger Setup,"NAVW110.00,NAVDACH10.00,MC0110"
0,99,Item Vendor,"NAVW110.00.00.16177,MF9.00.03"
0,110,Sales Shipment Header,"NAVW110.00,VG10.00.01,MF10.00.02,ESCM2.50,OPP10.00,MC0201"
0,111,Sales Shipment Line,"NAVW110.00.00.16585,NAVDACH10.00.00.16585,VG10.00.02.1,MI10.00,MF9.00.03,ESCM2.2,MC0150"
0,112,Sales Invoice Header,"NAVW110.00.00.15601,VG10.00,MF10.00.02,MC0124,ESCM2.00.1,OPP10.00,INS"
0,113,Sales Invoice Line,"NAVW110.00.00.16585,NAVDACH10.00.00.16585,VG10.00.02,MI10.00,MF10.00,MC0150,ESCM2.00.1"
0,114,Sales Cr.Memo Header,"NAVW110.00.00.15601,VG9.00.03,MF10.00.02,MC0002,ESCM2.00.1,OPP10.00,INS"
0,115,Sales Cr.Memo Line,"NAVW110.00.00.16585,NAVDACH10.00.00.16585,VG10.00,MI10.00,MF10.00,MC0150,ESCM2.00.1"
0,120,Purch. Rcpt. Header,"NAVW110.00,VG10.00,MF10.00.02,ESCM2.50,OPP10.00"
0,121,Purch. Rcpt. Line,"NAVW110.00.00.16585,NAVDACH10.00.00.16585,VG10.00.02.1,MI10.00,MF10.00.02,MC0115,ESCM2.2"
0,122,Purch. Inv. Header,"NAVW110.00,NAVDACH10.00,VG9.00.02,MF10.00,ESCM2.00.1,MC0110,OPP10.00,INS"
0,123,Purch. Inv. Line,"NAVW110.00.00.16585,NAVDACH10.00.00.16585,VG10.00,MI9.00.03,MF10.00,MC0115,ESCM1.09.5"
0,124,Purch. Cr. Memo Hdr.,"NAVW110.00,NAVDACH10.00,VG9.00.02,MF9.00.03,ESCM2.00.1,MC0110,OPP10.00,INS"
0,125,Purch. Cr. Memo Line,"NAVW110.00.00.16585,NAVDACH10.00.00.16585,VG10.00,MI10.00,MF10.00,MC0115,ESCM1.09.5"
0,130,Incoming Document,NAVW110.00.00.17501
0,131,Incoming Documents Setup,NAVW19.00
0,132,Incoming Document Approver,NAVW17.10
0,133,Incoming Document Attachment,NAVW110.00.00.16996
0,134,Posted Docs. With No Inc. Buf.,NAVW110.00
0,135,Acc. Sched. KPI Web Srv. Setup,NAVW110.00
0,136,Acc. Sched. KPI Web Srv. Line,NAVW17.10
0,137,Inc. Doc. Attachment Overview,NAVW110.00
0,140,License Agreement,NAVW19.00
0,152,Resource Group,NAVW19.00
0,156,Resource,"NAVW110.00.00.15601,VG10.00.01,MF7.00"
0,160,Res. Capacity Entry,NAVW17.00
0,167,Job,"NAVW110.00.00.17972,VG10.00.01"
0,169,Job Ledger Entry,"NAVW110.00,VG7.00,MC0002"
0,170,Standard Sales Code,NAVW110.00.00.14199
0,171,Standard Sales Line,NAVW110.00.00.17972
0,172,Standard Customer Sales Code,NAVW19.00
0,173,Standard Purchase Code,NAVW110.00.00.14199
0,174,Standard Purchase Line,NAVW110.00.00.17972
0,175,Standard Vendor Purchase Code,"NAVW19.00,MI10.00"
0,179,Reversal Entry,"NAVW110.00.00.15601,MC0002,OPP10.00"
0,180,G/L Account Where-Used,NAVW17.00
0,197,Acc. Sched. KPI Buffer,NAVW110.00
0,200,Work Type,"NAVW17.00,CO3.00"
0,201,Resource Price,NAVW17.00
0,202,Resource Cost,NAVW16.00
0,203,Res. Ledger Entry,NAVW110.00
0,204,Unit of Measure,"NAVW19.00,CO3.00,MF7.00"
0,205,Resource Unit of Measure,NAVW19.00
0,206,Res. Journal Template,NAVW110.00
0,207,Res. Journal Line,NAVW110.00.00.17972
0,208,Job Posting Group,NAVW19.00
0,209,Job Journal Template,NAVW110.00
0,210,Job Journal Line,"NAVW110.00.00.17972,VG10.00.01,MC0002"
0,212,Job Posting Buffer,NAVW19.00
0,220,Business Unit,NAVW110.00.00.17972
0,221,Gen. Jnl. Allocation,"NAVW110.00.00.17972,OPP10.00"
0,222,Ship-to Address,"NAVW110.00,MF10.00.02,ESCM2.50"
0,223,Drop Shpt. Post. Buffer,NAVW16.00
0,224,Order Address,"NAVW110.00,ESCM2.50"
0,225,Post Code,NAVW110.00.00.16585
0,230,Source Code,NAVW19.00
0,231,Reason Code,"NAVW19.00,MF7.00"
0,232,Gen. Journal Batch,"NAVW110.00.00.17501,MC0004,OPP10.00"
0,233,Item Journal Batch,"NAVW17.00,ESCM2.1"
0,236,Res. Journal Batch,NAVW17.00
0,237,Job Journal Batch,NAVW17.00
0,240,Resource Register,NAVW17.00
0,241,Job Register,NAVW17.00
0,242,Source Code Setup,"NAVW110.00,NAVDACH10.00,CO7.12,MC0002"
0,244,Req. Wksh. Template,NAVW110.00
0,245,Requisition Wksh. Name,NAVW17.00
0,246,Requisition Line,"NAVW110.00.00.17972,VG10.00.02.1,MF9.00.03,ESCM1.09.4,MC0164,Process"
0,249,VAT Registration Log,NAVW110.00.00.15140
0,250,Gen. Business Posting Group,NAVW19.00
0,251,Gen. Product Posting Group,NAVW19.00
0,252,General Posting Setup,"NAVW17.10,OPP10.00,INS"
0,253,G/L Entry - VAT Entry Link,"NAVW17.10,OPP9.10"
0,254,VAT Entry,"NAVW110.00.00.16996,NAVDACH10.00.00.16996,171110,OPP10.00,MC0141"
0,255,VAT Statement Template,"NAVW110.00,NAVDACH10.00"
0,256,VAT Statement Line,"NAVW110.00,OPP10.00"
0,257,VAT Statement Name,"NAVW17.00,NAVDACH7.00,OPP10.00"
0,258,Transaction Type,NAVW17.00
0,259,Transport Method,NAVW17.00
0,260,Tariff Number,"NAVW17.00,NAVDACH7.00"
0,261,Intrastat Jnl. Template,"NAVW110.00,NAVDACH10.00"
0,262,Intrastat Jnl. Batch,NAVW18.00
0,263,Intrastat Jnl. Line,"NAVW19.00,NAVDACH9.00,MF7.00"
0,264,Currency Amount,NAVW16.00
0,265,Document Entry,"NAVW110.00,CO8.00"
0,266,Customer Amount,NAVW16.00
0,267,Vendor Amount,NAVW16.00
0,268,Item Amount,NAVW16.00
0,269,G/L Account Net Change,"NAVW17.00,OPP9.00"
0,270,Bank Account,"NAVW110.00.00.14199,OPP10.00,CH"
0,271,Bank Account Ledger Entry,"NAVW110.00,OPP10.00"
0,272,Check Ledger Entry,NAVW110.00
0,273,Bank Acc. Reconciliation,NAVW110.00.00.17972
0,274,Bank Acc. Reconciliation Line,"NAVW110.00.00.17972,MC0002"
0,275,Bank Account Statement,NAVW110.00
0,276,Bank Account Statement Line,NAVW18.00
0,277,Bank Account Posting Group,"NAVW110.00,DYNPMT10.19"
0,278,Job Journal Quantity,NAVW17.00
0,279,Extended Text Header,"NAVW110.00,NAVDACH10.00,VG10.00.01,MI10.00,MF10.00.02"
0,280,Extended Text Line,"NAVW16.00,VG10.00.01,MF10.00.02"
0,281,Phys. Inventory Ledger Entry,"NAVW19.00,VG7.00"
0,282,Entry/Exit Point,NAVW17.00
0,283,Line Number Buffer,NAVW16.00
0,284,Area,NAVW17.00
0,285,Transaction Specification,"NAVW17.00,NAVDACH7.00"
0,286,Territory,NAVW17.00
0,287,Customer Bank Account,"NAVW110.00,OPP10.00,CH"
0,288,Vendor Bank Account,"NAVW110.00,OPP10.00,CH"
0,289,Payment Method,"NAVW110.00,OPP10.00"
0,290,VAT Amount Line,NAVW110.00
0,291,Shipping Agent,"NAVW110.00,MF10.00.01,ESCM2.2"
0,292,Reminder Terms,NAVW19.00
0,293,Reminder Level,NAVW19.00
0,294,Reminder Text,NAVW17.00
0,295,Reminder Header,"NAVW110.00.00.17972,MF10.00.02"
0,296,Reminder Line,"NAVW110.00,MF7.00,OPP10.00"
0,297,Issued Reminder Header,"NAVW110.00.00.16585,MF10.00.02"
0,298,Issued Reminder Line,"NAVW19.00,OPP10.00,MC0036"
0,299,Reminder Comment Line,NAVW17.00
0,300,Reminder/Fin. Charge Entry,"NAVW19.00,OPP10.00"
0,301,Finance Charge Text,NAVW17.00
0,302,Finance Charge Memo Header,NAVW110.00.00.17972
0,303,Finance Charge Memo Line,NAVW110.00
0,304,Issued Fin. Charge Memo Header,NAVW110.00
0,305,Issued Fin. Charge Memo Line,NAVW17.10
0,306,Fin. Charge Comment Line,NAVW17.00
0,307,Inventory Buffer,NAVW16.00
0,308,No. Series,NAVW110.00
0,309,No. Series Line,"NAVW17.00,ESCM1.05.01"
0,310,No. Series Relationship,NAVW17.00
0,311,Sales & Receivables Setup,"NAVW110.00.00.17501,NAVDACH10.00.00.17501,MC0150"
0,312,Purchases & Payables Setup,"NAVW110.00,NAVDACH10.00"
0,313,Inventory Setup,"NAVW19.00,NAVDACH9.00"
0,314,Resources Setup,NAVW17.00
0,315,Jobs Setup,NAVW110.00
0,317,Payable Vendor Ledger Entry,NAVW110.00
0,318,Tax Area,NAVW110.00
0,319,Tax Area Line,NAVW17.00
0,320,Tax Jurisdiction,NAVW110.00
0,321,Tax Group,NAVW110.00
0,322,Tax Detail,NAVW110.00
0,323,VAT Business Posting Group,NAVW19.00
0,324,VAT Product Posting Group,"NAVW110.00,NAVDACH10.00"
0,325,VAT Posting Setup,"NAVW110.00,NAVDACH10.00,OPP10.00"
0,326,Tax Setup,NAVW110.00
0,328,Currency for Fin. Charge Terms,NAVW19.00
0,329,Currency for Reminder Level,NAVW19.00
0,330,Currency Exchange Rate,NAVW110.00
0,331,Adjust Exchange Rate Buffer,NAVW19.00
0,332,Currency Total Buffer,NAVW17.00
0,333,Column Layout Name,NAVW17.00
0,334,Column Layout,NAVW110.00
0,335,Resource Price Change,NAVW17.00
0,336,Tracking Specification,"NAVW110.00,MF10.00.02"
0,337,Reservation Entry,"NAVW110.00.00.17501,NAVDACH10.00.00.17501,VG7.00"
0,338,Entry Summary,"NAVW18.00,VG10.00.02"
0,339,Item Application Entry,NAVW110.00.00.17501
0,340,Customer Discount Group,NAVW19.00
0,341,Item Discount Group,NAVW19.00
0,342,Acc. Sched. Cell Value,NAVW17.00
0,343,Item Application Entry History,NAVW17.00
0,347,Close Income Statement Buffer,NAVW16.00
0,348,Dimension,NAVW110.00
0,349,Dimension Value,"NAVW110.00,CO8.02,MF7.00"
0,350,Dimension Combination,NAVW17.00
0,351,Dimension Value Combination,NAVW16.00
0,352,Default Dimension,"NAVW110.00.00.16177,MF7.10,CRK10.00"
0,353,Dimension ID Buffer,NAVW16.00
0,354,Default Dimension Priority,NAVW110.00
0,360,Dimension Buffer,NAVW110.00
0,363,Analysis View,NAVW19.00
0,364,Analysis View Filter,NAVW19.00
0,365,Analysis View Entry,NAVW110.00.00.17972
0,366,Analysis View Budget Entry,NAVW110.00.00.17972
0,367,Dimension Code Buffer,NAVW16.00
0,368,Dimension Selection Buffer,"NAVW19.00,CO7.01.00.43894"
0,369,Selected Dimension,NAVW110.00
0,370,Excel Buffer,"NAVW110.00.00.16177,MF7.00"
0,371,Budget Buffer,NAVW16.00
0,372,Payment Buffer,"NAVW110.00,MC0002"
0,373,Dimension Entry Buffer,NAVW16.00
0,374,G/L Acc. Budget Buffer,NAVW110.00.00.17972
0,375,Dimension Code Amount Buffer,NAVW16.00
0,376,G/L Account (Analysis View),NAVW110.00.00.17972
0,377,Object Translation,NAVW17.00
0,378,Report List Translation,NAVW16.00.01
0,379,Detailed Cust. Ledg. Entry,"NAVW110.00,MF7.00,MC0115,OPP10.00"
0,380,Detailed Vendor Ledg. Entry,"NAVW110.00,MC0002,OPP10.00"
0,381,VAT Registration No. Format,"NAVW110.00,MC0004"
0,382,CV Ledger Entry Buffer,"NAVW110.00,MC0002,OPP10.00,INS"
0,383,Detailed CV Ledg. Entry Buffer,"NAVW110.00,MF9.00.02,MC0002,OPP10.00"
0,384,Reconcile CV Acc Buffer,NAVW16.00
0,386,Entry No. Amount Buffer,NAVW110.00.00.17972
0,388,Dimension Translation,NAVW19.00
0,390,Availability at Date,NAVW16.00
0,394,XBRL Taxonomy,NAVW17.00
0,395,XBRL Taxonomy Line,NAVW110.00.00.17972
0,396,XBRL Comment Line,NAVW16.00
0,397,XBRL G/L Map Line,NAVW16.00
0,398,XBRL Rollup Line,NAVW17.00
0,399,XBRL Schema,NAVW16.00
0,400,XBRL Linkbase,NAVW18.00
0,401,XBRL Taxonomy Label,NAVW16.00.01
0,402,Change Log Setup,NAVW16.00
0,403,Change Log Setup (Table),NAVW110.00
0,404,Change Log Setup (Field),NAVW16.00
0,405,Change Log Entry,"NAVW110.00,MF7.00"
0,408,XBRL Line Constant,NAVW16.00
0,409,SMTP Mail Setup,NAVW110.00
0,410,IC G/L Account,NAVW17.00
0,411,IC Dimension,NAVW17.00
0,412,IC Dimension Value,NAVW18.00
0,413,IC Partner,NAVW110.00
0,414,IC Outbox Transaction,NAVW19.00
0,415,IC Outbox Jnl. Line,NAVW18.00
0,416,Handled IC Outbox Trans.,NAVW17.00
0,417,Handled IC Outbox Jnl. Line,NAVW18.00
0,418,IC Inbox Transaction,NAVW110.00
0,419,IC Inbox Jnl. Line,NAVW18.00
0,420,Handled IC Inbox Trans.,NAVW17.00
0,421,Handled IC Inbox Jnl. Line,NAVW18.00
0,423,IC Inbox/Outbox Jnl. Line Dim.,NAVW17.00
0,424,IC Comment Line,NAVW17.00
0,426,IC Outbox Sales Header,NAVW18.00
0,427,IC Outbox Sales Line,NAVW19.00
0,428,IC Outbox Purchase Header,NAVW17.10
0,429,IC Outbox Purchase Line,NAVW18.00
0,430,Handled IC Outbox Sales Header,NAVW18.00
0,431,Handled IC Outbox Sales Line,NAVW19.00
0,432,Handled IC Outbox Purch. Hdr,NAVW18.00
0,433,Handled IC Outbox Purch. Line,NAVW18.00
0,434,IC Inbox Sales Header,NAVW17.10
0,435,IC Inbox Sales Line,NAVW18.00
0,436,IC Inbox Purchase Header,NAVW18.00
0,437,IC Inbox Purchase Line,NAVW19.00
0,438,Handled IC Inbox Sales Header,NAVW18.00
0,439,Handled IC Inbox Sales Line,NAVW18.00
0,440,Handled IC Inbox Purch. Header,NAVW18.00
0,441,Handled IC Inbox Purch. Line,NAVW19.00
0,442,IC Document Dimension,NAVW110.00
0,450,Bar Chart Buffer,NAVW16.00
0,454,Approval Entry,NAVW110.00
0,455,Approval Comment Line,NAVW110.00.00.17972
0,456,Posted Approval Entry,NAVW19.00
0,457,Posted Approval Comment Line,NAVW19.00
0,458,Overdue Approval Entry,NAVW110.00
0,459,Sales Prepayment %,NAVW16.00
0,460,Purchase Prepayment %,NAVW16.00
0,461,Prepayment Inv. Line Buffer,NAVW110.00
0,462,Payment Term Translation,NAVW16.00
0,463,Shipment Method Translation,NAVW16.00
0,471,Job Queue Category,NAVW110.00
0,472,Job Queue Entry,NAVW110.00.00.23563
0,474,Job Queue Log Entry,NAVW110.00
0,477,Report Inbox,NAVW110.00
0,480,Dimension Set Entry,"NAVW17.00,VG10.00.02"
0,481,Dimension Set Tree Node,NAVW17.00
0,482,Reclas. Dimension Set Buffer,NAVW110.00
0,485,Business Chart Buffer,NAVW110.00
0,486,Business Chart Map,NAVW18.00
0,487,Business Chart User Setup,NAVW18.00
0,550,VAT Rate Change Setup,NAVW110.00
0,551,VAT Rate Change Conversion,NAVW19.00
0,552,VAT Rate Change Log Entry,NAVW110.00
0,560,VAT Clause,NAVW17.10
0,561,VAT Clause Translation,NAVW17.10
0,570,G/L Account Category,NAVW110.00
0,700,Error Message,NAVW110.00
0,710,Activity Log,NAVW110.00
0,740,VAT Report Header,"NAVW18.00,NAVDE8.00"
0,741,VAT Report Line,"NAVW18.00,NAVDE8.00"
0,743,VAT Report Setup,"NAVW19.00,NAVDACH9.00,NAVDE9.00"
0,744,VAT Report Line Relation,"NAVW17.10,NAVDE7.10"
0,745,VAT Report Error Log,NAVW17.00
0,750,Standard General Journal,NAVW110.00
0,751,Standard General Journal Line,NAVW110.00.00.17972
0,752,Standard Item Journal,NAVW19.00
0,753,Standard Item Journal Line,NAVW110.00.00.17972
0,760,Trailing Sales Orders Setup,NAVW18.00
0,762,Account Schedules Chart Setup,NAVW19.00
0,763,Acc. Sched. Chart Setup Line,NAVW17.00
0,770,Analysis Report Chart Setup,NAVW19.00
0,771,Analysis Report Chart Line,NAVW17.00
0,777,Online Bank Acc. Link,NAVW110.00
0,780,Certificate of Supply,NAVW19.00
0,800,Online Map Setup,NAVW18.00
0,801,Online Map Parameter Setup,NAVW19.00
0,806,Geolocation,NAVW19.00
0,823,Name/Value Buffer,NAVW110.00
0,840,Cash Flow Forecast,NAVW110.00.00.17972
0,841,Cash Flow Account,NAVW110.00
0,842,Cash Flow Account Comment,NAVW17.00
0,843,Cash Flow Setup,NAVW110.00.00.16585
0,846,Cash Flow Worksheet Line,"NAVW110.00.00.17972,MC0002"
0,847,Cash Flow Forecast Entry,NAVW110.00
0,849,Cash Flow Manual Revenue,NAVW110.00.00.15601
0,850,Cash Flow Manual Expense,NAVW110.00.00.15601
0,851,Cortana Intelligence,NAVW110.00
0,856,Cash Flow Report Selection,NAVW110.00
0,869,Cash Flow Chart Setup,NAVW110.00
0,870,Social Listening Setup,NAVW19.00
0,871,Social Listening Search Topic,NAVW19.00
0,900,Assembly Header,NAVW110.00.00.17972
0,901,Assembly Line,NAVW110.00.00.17972
0,904,Assemble-to-Order Link,NAVW110.00
0,905,Assembly Setup,NAVW18.00
0,906,Assembly Comment Line,NAVW17.00
0,910,Posted Assembly Header,NAVW110.00
0,911,Posted Assembly Line,NAVW19.00
0,914,Posted Assemble-to-Order Link,NAVW18.00
0,915,ATO Sales Buffer,NAVW19.00
0,950,Time Sheet Header,NAVW110.00
0,951,Time Sheet Line,NAVW110.00.00.17501
0,952,Time Sheet Detail,NAVW17.00
0,953,Time Sheet Comment Line,NAVW17.00
0,954,Time Sheet Header Archive,NAVW17.10
0,955,Time Sheet Line Archive,NAVW17.10
0,956,Time Sheet Detail Archive,NAVW17.10
0,957,Time Sheet Cmt. Line Archive,NAVW17.00
0,958,Time Sheet Posting Entry,NAVW19.00
0,959,Time Sheet Chart Setup,NAVW17.00
0,980,Payment Registration Setup,NAVW17.10
0,981,Payment Registration Buffer,NAVW110.00
0,983,Document Search Result,NAVW17.10
0,1001,Job Task,NAVW110.00
0,1002,Job Task Dimension,NAVW110.00
0,1003,Job Planning Line,"NAVW110.00.00.16585,VG7.00"
0,1004,Job WIP Entry,NAVW17.00
0,1005,Job WIP G/L Entry,NAVW17.00
0,1006,Job WIP Method,NAVW110.00
0,1007,Job WIP Warning,NAVW17.00
0,1012,Job Resource Price,NAVW19.00
0,1013,Job Item Price,"NAVW110.00,VG7.00"
0,1014,Job G/L Account Price,NAVW19.00
0,1015,Job Entry No.,NAVW110.00.00.14199
0,1017,Job Buffer,NAVW17.00
0,1018,Job WIP Buffer,NAVW17.00
0,1019,Job Difference Buffer,NAVW110.00
0,1020,Job Usage Link,NAVW110.00
0,1021,Job WIP Total,NAVW110.00
0,1022,Job Planning Line Invoice,NAVW17.10
0,1034,Job Planning Line - Calendar,NAVW110.00
0,1050,Additional Fee Setup,NAVW110.00
0,1051,Sorting Table,NAVW19.00
0,1052,Reminder Terms Translation,NAVW110.00
0,1053,Line Fee Note on Report Hist.,NAVW110.00
0,1060,Payment Service Setup,NAVW110.00
0,1062,Payment Reporting Argument,NAVW110.00
0,1100,Cost Journal Template,NAVW110.00
0,1101,Cost Journal Line,NAVW19.00
0,1102,Cost Journal Batch,NAVW17.00
0,1103,Cost Type,NAVW110.00.00.16177
0,1104,Cost Entry,NAVW18.00
0,1105,Cost Register,NAVW110.00.00.16177
0,1106,Cost Allocation Source,NAVW110.00.00.16177
0,1107,Cost Allocation Target,NAVW110.00.00.16177
0,1108,Cost Accounting Setup,NAVW17.00
0,1109,Cost Budget Entry,NAVW110.00
0,1110,Cost Budget Name,NAVW17.00
0,1111,Cost Budget Register,NAVW17.00
0,1112,Cost Center,NAVW19.00
0,1113,Cost Object,NAVW19.00
0,1114,Cost Budget Buffer,NAVW17.00
0,1150,Report Totals Buffer,NAVW18.00
0,1200,Bank Export/Import Setup,NAVW19.00
0,1205,Credit Transfer Register,NAVW19.00
0,1206,Credit Transfer Entry,NAVW19.00
0,1207,Direct Debit Collection,NAVW18.00
0,1208,Direct Debit Collection Entry,NAVW19.00
0,1209,Credit Trans Re-export History,NAVW19.00
0,1213,Data Exchange Type,NAVW19.00
0,1214,Intermediate Data Import,NAVW110.00
0,1220,Data Exch.,NAVW110.00
0,1221,Data Exch. Field,NAVW110.00
0,1222,Data Exch. Def,NAVW110.00.00.14199
0,1223,Data Exch. Column Def,NAVW110.00
0,1224,Data Exch. Mapping,NAVW110.00
0,1225,Data Exch. Field Mapping,NAVW110.00
0,1226,Payment Export Data,NAVW110.00
0,1227,Data Exch. Line Def,NAVW110.00.00.14199
0,1228,Payment Jnl. Export Error Text,NAVW18.00
0,1229,Payment Export Remittance Text,NAVW17.10
0,1230,SEPA Direct Debit Mandate,NAVW110.00.00.17501
0,1231,Positive Pay Entry,NAVW19.00
0,1232,Positive Pay Entry Detail,NAVW19.00
0,1234,CSV Buffer,NAVW110.00
0,1235,XML Buffer,NAVW110.00
0,1237,Transformation Rule,NAVW110.00
0,1240,Positive Pay Header,NAVW19.00
0,1241,Positive Pay Detail,NAVW19.00
0,1242,Positive Pay Footer,NAVW19.00
0,1248,Ledger Entry Matching Buffer,NAVW110.00
0,1249,Bank Stmt Multiple Match Line,NAVW18.00
0,1250,Bank Statement Matching Buffer,NAVW110.00
0,1251,Text-to-Account Mapping,NAVW110.00
0,1252,Bank Pmt. Appl. Rule,NAVW110.00
0,1259,Bank Data Conv. Bank,NAVW18.00
0,1260,Bank Data Conv. Service Setup,NAVW110.00
0,1261,Service Password,NAVW19.00
0,1265,Data Exch. Field Mapping Buf.,NAVW110.00
0,1270,OCR Service Setup,NAVW110.00.00.17501
0,1271,OCR Service Document Template,NAVW19.00
0,1275,Doc. Exch. Service Setup,NAVW110.00
0,1280,Bank Clearing Standard,NAVW18.00
0,1281,Bank Data Conversion Pmt. Type,NAVW18.00
0,1284,Outstanding Bank Transaction,NAVW110.00
0,1293,Payment Application Proposal,NAVW110.00.00.15601
0,1294,Applied Payment Entry,NAVW110.00.00.16996
0,1295,Posted Payment Recon. Hdr,NAVW19.00
0,1296,Posted Payment Recon. Line,NAVW110.00
0,1299,Payment Matching Details,NAVW110.00
0,1300,Mini Customer Template,NAVW110.00.00.17972
0,1301,Item Template,NAVW110.00.00.17972
0,1302,Dimensions Template,NAVW110.00.00.17972
0,1303,Mini Vendor Template,NAVW110.00.00.17972
0,1304,Sales Price and Line Disc Buff,"NAVW110.00,VG10.00.02,MF10.00.01"
0,1306,User Preference,NAVW110.00
0,1307,O365 Device Setup Instructions,NAVW110.00
0,1308,O365 Getting Started Page Data,NAVW110.00
0,1309,O365 Getting Started,NAVW110.00
0,1310,Chart Definition,NAVW110.00
0,1311,Last Used Chart,NAVW110.00
0,1312,Trial Balance Setup,NAVW110.00
0,1313,Activities Cue,NAVW110.00
0,1319,Sales by Cust. Grp.Chart Setup,NAVW17.10
0,1400,Service Connection,NAVW110.00
0,1430,Role Center Notifications,NAVW110.00.00.14199
0,1500,Workflow Buffer,NAVW19.00
0,1501,Workflow,NAVW110.00
0,1502,Workflow Step,NAVW110.00.00.15601
0,1504,Workflow Step Instance,NAVW19.00
